Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_53,Turno_A,3,10,2,30,0,30,30,0,0,860937
Categoria_38,Turno_A,3,10,5,6,0,6,6,0,0,638776
Categoria_06,Turno_B,3,11,4,35,0,35,28,0,0,717611
Categoria_37,Turno_B,3,10,3,18,0,18,18,0,0,294806
Categoria_52,Turno_B,3,12,3,39,0,39,2,0,0,143767
Categoria_48,Turno_A,3,10,5,51,0,51,51,0,0,311648
Categoria_26,Turno_A,3,10,2,195,25,170,65,0,0,490754
Categoria_20,Turno_B,3,10,4,26,0,26,26,0,0,804824
Categoria_60,Turno_A,3,11,6,20,20,0,0,0,0,40535
Categoria_19,Turno_A,3,12,6,4,0,4,0,0,0,385713
Categoria_35,Turno_A,2,9,6,136,50,86,13,0,0,139312
Categoria_35,Turno_A,3,13,1,206,2,204,1,0,0,139312
Categoria_35,Turno_A,3,10,3,236,0,236,0,0,0,139312
Categoria_35,Turno_B,3,14,1,193,32,161,0,0,0,139312
Categoria_59,Turno_A,2,9,3,26,0,26,6,0,0,596146
Categoria_49,Turno_B,2,9,3,61,0,61,61,0,0,58984
Categoria_26,Turno_B,2,9,3,187,22,165,82,0,0,490754
Categoria_52,Turno_A,2,9,3,189,16,173,31,0,0,143767
Categoria_41,Turno_A,3,13,6,46,0,46,4,0,0,465808
Categoria_52,Turno_A,3,11,4,139,0,139,7,0,0,143767
Categoria_08,Turno_A,3,10,3,40,0,40,40,0,0,310804
Categoria_61,Turno_B,3,12,1,66,0,66,0,0,0,144633
Categoria_09,Turno_A,3,11,1,44,0,44,20,0,0,22666
Categoria_12,Turno_A,3,12,1,84,0,84,0,0,0,848688
Categoria_69,Turno_B,3,10,4,24,0,24,9,0,0,361279
Categoria_49,Turno_A,3,10,2,65,0,65,31,0,0,58984
Categoria_11,Turno_B,3,13,4,34,0,34,10,0,0,923910
Categoria_68,Turno_B,3,11,1,79,0,79,7,0,0,995067
Categoria_47,Turno_A,3,10,1,23,1,22,19,0,0,831654
Categoria_62,Turno_A,3,11,4,46,0,46,0,0,0,611661
Categoria_66,Turno_A,3,11,6,16,0,16,0,0,0,146330
Categoria_09,Turno_B,3,12,3,95,0,95,20,0,0,22666
Categoria_64,Turno_A,3,10,5,44,0,44,8,0,0,386896
Categoria_68,Turno_A,2,9,3,76,37,39,22,0,0,995067
Categoria_49,Turno_A,3,11,4,81,0,81,11,0,0,58984
Categoria_61,Turno_B,3,13,2,118,0,118,2,0,0,144633
Categoria_68,Turno_B,3,11,4,58,0,58,1,0,0,995067
Categoria_48,Turno_A,2,9,4,65,0,65,65,0,0,311648
Categoria_64,Turno_B,3,13,2,34,0,34,0,0,0,386896
Categoria_26,Turno_C,3,10,1,7,0,7,0,0,0,490754
Categoria_44,Turno_B,3,11,3,27,12,15,5,0,0,698519
Categoria_51,Turno_B,3,10,2,40,0,40,40,0,0,657972
Categoria_35,Turno_A,3,12,5,205,2,203,1,0,0,139312
Categoria_24,Turno_B,3,13,2,10,0,10,1,0,0,23986
Categoria_44,Turno_A,3,10,6,44,15,29,28,0,0,698519
Categoria_48,Turno_A,3,12,1,20,0,20,20,0,0,311648
Categoria_59,Turno_B,3,13,5,26,0,26,1,0,0,596146
Categoria_35,Turno_A,2,9,5,233,46,187,14,0,0,139312
Categoria_35,Turno_A,3,14,1,190,2,188,0,0,0,139312
Categoria_35,Turno_B,3,13,4,115,12,103,0,0,0,139312
Categoria_09,Turno_A,2,9,3,120,27,93,42,0,0,22666
Categoria_25,Turno_B,3,11,1,34,0,34,34,0,0,988732
Categoria_52,Turno_A,3,13,6,60,0,60,0,0,0,143767
Categoria_36,Turno_A,3,11,5,50,0,50,0,0,0,499570
Categoria_09,Turno_B,3,13,5,56,0,56,4,0,0,22666
Categoria_21,Turno_A,3,14,2,15,0,15,15,0,0,466551
Categoria_33,Turno_A,3,12,3,9,0,9,0,0,0,298998
Categoria_68,Turno_A,3,11,4,54,0,54,0,0,0,995067
Categoria_68,Turno_A,3,12,3,54,0,54,0,0,0,995067
Categoria_12,Turno_B,3,14,2,36,0,36,0,0,0,848688
Categoria_18,Turno_A,3,12,4,8,0,8,0,0,0,298998
Categoria_41,Turno_C,3,10,1,5,0,5,5,0,0,465808
Categoria_56,Turno_B,3,11,1,9,0,9,9,0,0,283109
Categoria_41,Turno_A,3,10,2,45,0,45,41,0,0,465808
Categoria_54,Turno_A,3,10,5,8,0,8,0,0,0,130151
Categoria_41,Turno_A,2,9,3,73,20,53,52,0,0,465808
Categoria_14,Turno_C,3,10,1,8,0,8,8,0,0,658663
Categoria_36,Turno_B,3,10,4,18,0,18,1,0,0,499570
